gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,ni,pi,txpd,costat,ggroup
004448,12/31/2002,2002,INDL,C,D,STD,USD,11.1380,16.9430,6.8310,A,2520
004448,12/31/2003,2003,INDL,C,D,STD,USD,14.8500,21.2230,7.2070,A,2520
004448,12/31/2004,2004,INDL,C,D,STD,USD,7.8270,13.8170,8.4180,A,2520
004448,12/31/2005,2005,INDL,C,D,STD,USD,12.9160,19.2590,5.5610,A,2520
004448,12/31/2006,2006,INDL,C,D,STD,USD,8.4950,11.4610,2.5120,A,2520
004448,12/31/2007,2007,INDL,C,D,STD,USD,9.2550,14.2220,3.3240,A,2520
004448,12/31/2008,2008,INDL,C,D,STD,USD,-7.4960,-10.1800,2.1670,A,2520
004448,12/31/2009,2009,INDL,C,D,STD,USD,1.6570,2.6050,0.1840,A,2520
004448,12/31/2010,2010,INDL,C,D,STD,USD,6.0590,9.0760,1.8320,A,2520
004448,12/31/2011,2011,INDL,C,D,STD,USD,4.4410,6.8750,1.3160,A,2520
004448,12/31/2012,2012,INDL,C,D,STD,USD,-4.9300,-0.5380,3.3640,A,2520
004448,12/31/2013,2013,INDL,C,D,STD,USD,9.8050,16.6880,4.5460,A,2520
004448,12/31/2014,2014,INDL,C,D,STD,USD,11.8170,19.7830,5.2080,A,2520
004448,12/31/2015,2015,INDL,C,D,STD,USD,11.6060,15.6740,0.1080,A,2520
004448,12/31/2016,2016,INDL,C,D,STD,USD,11.4930,15.5420,3.3330,A,2520
004448,12/31/2017,2017,INDL,C,D,STD,USD,14.0610,15.5170,3.8160,A,2520
004448,12/31/2018,2018,INDL,C,D,STD,USD,20.4420,26.4420,4.8440,A,2520
004448,12/31/2019,2019,INDL,C,D,STD,USD,7.2580,8.9340,1.3830,A,2520
004448,12/31/2020,2020,INDL,C,D,STD,USD,25.9340,32.9220,6.2050,A,2520
004771,06/30/2000,2000,INDL,C,D,STD,USD,11.9280,18.6580,7.0500,A,2520
004771,06/30/2001,2001,INDL,C,D,STD,USD,4.5940,7.2740,4.4420,A,2520
004771,06/30/2002,2002,INDL,C,D,STD,USD,5.6600,9.1600,2.9900,A,2520
004771,06/30/2003,2003,INDL,C,D,STD,USD,8.2910,14.2410,7.2700,A,2520
004771,06/30/2004,2004,INDL,C,D,STD,USD,10.1300,16.7400,6.6360,A,2520
004771,06/30/2005,2005,INDL,C,D,STD,USD,6.0440,8.7040,2.2280,A,2520
004771,06/30/2006,2006,INDL,C,D,STD,USD,4.7180,7.7780,3.2440,A,2520
004771,06/30/2007,2007,INDL,C,D,STD,USD,9.3340,14.4840,3.5510,A,2520
004771,06/30/2008,2008,INDL,C,D,STD,USD,4.2360,6.5960,3.2050,A,2520
004771,06/30/2009,2009,INDL,C,D,STD,USD,-1.5090,-2.5790,-0.0620,A,2520
004771,06/30/2010,2010,INDL,C,D,STD,USD,10.8010,17.4510,3.5870,A,2520
004771,06/30/2011,2011,INDL,C,D,STD,USD,10.4170,16.2070,7.6470,A,2520
004771,06/30/2012,2012,INDL,C,D,STD,USD,13.0680,20.6680,6.2370,A,2520
004771,06/30/2013,2013,INDL,C,D,STD,USD,13.1510,20.8810,7.2500,A,2520
004771,06/30/2014,2014,INDL,C,D,STD,USD,14.9900,23.8000,6.8800,A,2520
004771,06/30/2015,2015,INDL,C,D,STD,USD,22.2990,35.5590,13.9200,A,2520
004771,06/30/2016,2016,INDL,C,D,STD,USD,24.2370,37.9270,10.1400,A,2520
004771,06/30/2017,2017,INDL,C,D,STD,USD,23.7860,37.5860,9.7800,A,2520
004771,06/30/2018,2018,INDL,C,D,STD,USD,17.6660,25.1260,8.4600,A,2520
004771,06/30/2019,2019,INDL,C,D,STD,USD,-32.6050,-42.6080,1.1900,A,2520
004771,06/30/2020,2020,INDL,C,D,STD,USD,-26.8440,-33.7570,-4.3040,A,2520
004771,06/30/2021,2021,INDL,C,D,STD,USD,23.0480,31.4670,-5.5560,A,2520
005327,12/31/2000,2000,INDL,C,D,STD,USD,-0.6820,-1.1370,0.0020,A,2520
005327,12/31/2001,2001,INDL,C,D,STD,USD,1.3700,1.4370,0.9010,A,2520
005327,12/31/2002,2002,INDL,C,D,STD,USD,1.7030,2.9100,0.5670,A,2520
005327,12/31/2003,2003,INDL,C,D,STD,USD,0.9410,1.9270,0.5650,A,2520
005327,12/31/2004,2004,INDL,C,D,STD,USD,2.9830,4.9730,3.5320,A,2520
005327,12/31/2005,2005,INDL,C,D,STD,USD,1.1910,2.1660,1.0430,A,2520
005327,12/31/2006,2006,INDL,C,D,STD,USD,-20.3780,-25.8570,1.7280,A,2520
005327,12/31/2007,2007,INDL,C,D,STD,USD,-1.3440,-17.1520,0.1030,A,2520
005327,12/31/2008,2008,INDL,C,D,STD,USD,-19.4600,-18.6340,0.0810,A,2520
005327,12/31/2009,2009,INDL,C,D,STD,USD,-6.9910,-7.2780,0.1150,A,2520
005327,12/31/2010,2010,INDL,C,D,STD,USD,-1.7050,-4.0750,0.0320,A,2520
005327,12/31/2011,2011,INDL,C,D,STD,USD,-1.2610,-1.7310,0.0000,A,2520
005327,12/31/2012,2012,INDL,C,D,STD,USD,-0.4840,-0.4140,,A,2520
005327,12/31/2013,2013,INDL,C,D,STD,USD,0.0700,0.1710,,A,2520
005327,12/31/2014,2014,INDL,C,D,STD,USD,0.3270,0.3590,,A,2520
005327,12/31/2015,2015,INDL,C,D,STD,USD,-1.0320,-1.0320,,A,2520
005518,12/31/2000,2000,INDL,C,D,STD,USD,-144.6310,-225.9860,95.9750,A,2520
005518,12/31/2001,2001,INDL,C,D,STD,USD,59.7320,96.1990,-34.8130,A,2520
005518,12/31/2002,2002,INDL,C,D,STD,USD,-170.6740,104.0880,-41.3780,A,2520
005518,12/31/2003,2003,INDL,C,D,STD,USD,157.6640,244.0640,28.3540,A,2520
005518,12/31/2004,2004,INDL,C,D,STD,USD,195.9770,260.0880,40.6470,A,2520
005518,12/31/2005,2005,INDL,C,D,STD,USD,212.0750,310.9130,32.9620,A,2520
005518,12/31/2006,2006,INDL,C,D,STD,USD,230.0550,341.4740,84.9010,A,2520
005518,12/31/2007,2007,INDL,C,D,STD,USD,333.0030,462.3820,123.3250,A,2520
005518,12/31/2008,2008,INDL,C,D,STD,USD,306.7660,441.0550,49.1520,A,2520
005518,12/31/2009,2009,INDL,C,D,STD,USD,374.9300,529.6970,107.9480,A,2520
005518,12/31/2010,2010,INDL,C,D,STD,USD,397.7520,507.7200,93.9950,A,2520
005518,12/31/2011,2011,INDL,C,D,STD,USD,385.3670,486.3930,78.1040,A,2520
005518,12/31/2012,2012,INDL,C,D,STD,USD,335.9990,453.4020,110.5440,A,2520
