,gvkey,acominc,act,ap,at,ch,citotal,cshpri,dltt,dvt,ebit,ebitda,gp,icapt,invt,lt,opeps,revt,seq,txdi,txp,txt,sic,ni,pi,txpd,prev_ni,prev2_ni,prev3_ni,t90ret,b5ret,cpiret,SNP500,SNP500_CD
2003,12616,-77.0,1054.0,94.0,1847.0,230.0,33.0,29.0,10.0,17.0,67.0,92.0,689.0,1387.0,206.0,469.0,0.0,1386.0,1362.0,-24.0,23.0,21.0,2340,27.0,47.0,38.0,24.0,37.0,86.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,12689,38.0,0.0,586.0,4235.0,138.0,251.0,39.0,1393.0,11.0,605.0,626.0,1393.0,3075.0,3081.0,2553.0,9.0,5850.0,1592.0,-10.0,0.0,182.0,1531,480.0,580.0,108.0,370.0,314.0,214.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,12868,19.0,433.0,64.0,707.0,27.0,51.0,54.0,114.0,0.0,101.0,122.0,454.0,561.0,146.0,261.0,1.0,975.0,446.0,-3.0,10.0,31.0,2320,81.0,90.0,21.0,58.0,37.0,28.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,13354,-2.0,520.0,94.0,579.0,4.0,38.0,21.0,24.0,0.0,21.0,27.0,129.0,355.0,219.0,248.0,0.0,1323.0,325.0,-3.0,13.0,9.0,3651,77.0,21.0,10.0,11.0,-15.0,-9.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,13906,0.0,195.0,15.0,277.0,88.0,6.0,8.0,67.0,0.0,19.0,27.0,141.0,212.0,50.0,133.0,1.0,315.0,144.0,-1.0,0.0,4.0,3690,8.0,9.0,10.0,5.0,7.0,5.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,13932,-55.0,270.0,52.0,496.0,22.0,-14.0,19.0,361.0,42.0,72.0,91.0,332.0,227.0,138.0,630.0,-2.0,744.0,-145.0,-1.0,0.0,2.0,3100,3.0,7.0,8.0,3.0,-34.0,-7.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,14064,-1.0,152.0,18.0,246.0,10.0,11.0,8.0,4.0,0.0,14.0,22.0,114.0,101.0,55.0,150.0,0.0,366.0,95.0,-17.0,0.0,-19.0,3585,21.0,-62.0,0.0,-44.0,-31.0,6.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,14227,0.0,3.0,0.0,102.0,1.0,-2.0,3.0,18.0,2.0,2.0,9.0,18.0,46.0,5.0,74.0,-1.0,25.0,27.0,-2.0,0.0,-2.0,3873,-3.0,-1.0,-1.0,0.0,4.0,3.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,14311,-3.0,387.0,65.0,671.0,82.0,68.0,21.0,18.0,26.0,143.0,197.0,414.0,337.0,182.0,351.0,5.0,1605.0,319.0,-9.0,22.0,53.0,3790,104.0,164.0,51.0,110.0,103.0,91.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,14447,-785.0,9981.0,2064.0,25878.0,1036.0,579.0,2449.0,5498.0,471.0,2428.0,3522.0,10587.0,16544.0,4301.0,14831.0,0.0,15068.0,8860.0,163.0,76.0,614.0,2330,1367.0,1661.0,1001.0,910.0,582.0,8.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,14620,104.0,7424.0,2064.0,10705.0,559.0,99.0,156.0,1135.0,263.0,1053.0,1518.0,4656.0,4956.0,2077.0,6885.0,4.0,17244.0,3816.0,-38.0,164.0,309.0,3630,472.0,973.0,120.0,664.0,585.0,370.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,14790,0.0,0.0,80.0,954.0,4.0,112.0,13.0,350.0,0.0,145.0,154.0,301.0,762.0,802.0,542.0,7.0,1471.0,411.0,1.0,0.0,57.0,1531,138.0,151.0,54.0,94.0,69.0,50.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,14957,0.0,0.0,0.0,0.0,0.0,-1.0,63.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,7819,-1.0,-1.0,0.0,-1.0,-2.0,-2.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,15457,0.0,0.0,0.0,67.0,65.0,-1.0,0.0,0.0,44.0,-4.0,-4.0,2.0,50.0,0.0,17.0,-9.0,24.0,50.0,0.0,0.0,0.0,9995,2.0,-4.0,0.0,-1.0,53.0,101.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,16476,-98.0,1675.0,296.0,2983.0,203.0,11.0,215.0,2281.0,0.0,427.0,491.0,1705.0,912.0,680.0,4353.0,2.0,4130.0,-1394.0,188.0,29.0,318.0,2300,30.0,-30.0,167.0,-350.0,24.0,151.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,19402,0.0,62.0,5.0,70.0,3.0,8.0,6.0,0.0,0.0,8.0,9.0,51.0,55.0,30.0,15.0,0.0,202.0,55.0,-1.0,1.0,1.0,2300,8.0,2.0,1.0,0.0,2.0,11.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,22049,51.0,458.0,198.0,1110.0,13.0,65.0,31.0,282.0,0.0,116.0,145.0,306.0,777.0,207.0,615.0,2.0,1163.0,494.0,4.0,2.0,25.0,2511,100.0,100.0,26.0,75.0,61.0,25.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,23252,0.0,360.0,25.0,731.0,81.0,39.0,37.0,9.0,9.0,133.0,155.0,470.0,546.0,198.0,193.0,2.0,907.0,537.0,4.0,0.0,45.0,2510,79.0,121.0,44.0,75.0,82.0,79.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,24099,0.0,88.0,8.0,136.0,1.0,4.0,10.0,0.0,2.0,14.0,18.0,71.0,86.0,49.0,50.0,0.0,160.0,86.0,0.0,4.0,5.0,3420,8.0,13.0,3.0,8.0,2.0,2.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,24978,2.0,383.0,35.0,748.0,47.0,-1.0,66.0,0.0,21.0,89.0,134.0,437.0,589.0,185.0,159.0,0.0,814.0,589.0,-10.0,11.0,22.0,3949,-11.0,67.0,30.0,45.0,69.0,58.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,25119,2.0,1533.0,276.0,4163.0,0.0,181.0,66.0,763.0,0.0,542.0,648.0,1465.0,3061.0,832.0,1865.0,4.0,5005.0,2297.0,34.0,0.0,178.0,2273,368.0,488.0,139.0,310.0,284.0,188.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
