gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,fyr,fdate,acominc,act,ap,at,ch,citotal,cshpri,dltt,dvpd,dvt,ebit,ebitda,gld,gleps,glp,gp,icapt,invt,lt,opeps,opiti,revt,seq,teq,tii,txdba,txdbca,txdbcl,txdi,txp,txt,uopi,costat,ggroup,sic,spcindcd,spcseccd
002444,12/31/2016,2016,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,03/05/2017,-434.6000,1688.5000,392.7000,3284.7000,422.4000,315.5000,91.2000,436.5000,,55.4000,479.7000,583.6000,,,,1329.0000,1876.6000,762.1000,1844.6000,3.1300,,4488.5000,1440.1000,1440.1000,,307.8000,0.0000,0.0000,62.5000,0.0000,115.3000,,A,2520,3510,475,976
002444,12/31/2017,2017,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,03/09/2018,-359.8000,1846.7000,409.7000,3358.2000,448.8000,221.2000,89.4000,431.8000,,60.6000,501.6000,599.8000,,,,1341.3000,1914.7000,765.6000,1875.3000,3.2600,,4510.0000,1482.9000,1482.9000,,165.6000,0.0000,0.0000,118.4000,0.0000,156.0000,,A,2520,3510,475,976
002444,12/31/2018,2018,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,02/28/2019,-363.1000,1880.2000,527.8000,4285.7000,294.4000,262.0000,87.6000,1179.5000,,67.8000,492.8000,633.2000,0.0200,0.0200,2.3000,1466.8000,2762.1000,943.7000,2703.1000,4.1000,,5159.2000,1582.6000,1582.6000,,96.1000,0.0000,0.0000,25.1000,0.0000,59.1000,,A,2520,3510,475,976
002444,12/31/2019,2019,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,02/20/2020,-53.4000,1525.8000,393.5000,3564.4000,320.3000,178.7000,85.2000,1138.1000,,73.4000,494.6000,633.3000,,,,1259.7000,2439.0000,824.5000,2263.5000,0.4200,,4108.4000,1300.9000,1300.9000,,118.7000,0.0000,0.0000,-49.8000,0.0000,80.3000,,A,2520,3510,475,976
002444,12/31/2020,2020,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,02/19/2021,-42.7000,1670.5000,457.6000,3770.6000,519.6000,383.4000,79.2000,978.1000,,78.3000,542.6000,696.0000,,,,1364.5000,2488.1000,711.8000,2260.6000,4.7600,,4347.5000,1510.0000,1510.0000,,136.6000,0.0000,0.0000,-17.6000,0.0000,98.0000,,A,2520,3510,475,976
002444,12/31/2021,2021,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,,,2124.6000,693.5000,5425.0000,354.5000,,77.8000,1779.0000,,,834.0000,1012.1000,0.0100,0.0100,1.5000,1844.1000,3693.2000,1208.0000,3510.8000,7.9700,,5846.2000,1914.2000,1914.2000,,146.0000,,,,0.0000,141.0000,,A,2520,3510,475,976
002820,03/31/2002,2001,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,,0.0000,39.7870,8.1860,117.0900,0.0000,,,3.4600,,0.0000,3.7640,4.9660,,,,16.5010,60.4330,8.3020,60.1170,,,95.7280,56.9730,,,,,,0.0000,0.0000,0.0000,,A,2520,2452,305,976
002820,03/31/2003,2002,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,,0.0000,35.1050,3.2500,111.6120,0.0000,,,0.0000,,0.0000,7.1540,8.3210,,,,20.5210,92.3460,6.8610,19.2660,,,110.0370,92.3460,92.3460,,,,,0.0000,0.0000,0.0000,,A,2520,2452,305,976
002820,03/31/2004,2003,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,,0.0000,54.2880,6.1050,129.8540,30.7750,,3.1310,0.0000,,0.0000,9.0440,10.2070,,,,23.7900,97.9330,7.9950,31.9210,1.9900,,128.8570,97.9330,97.9330,,,,,2.2590,0.0000,3.0540,,A,2520,2452,305,976
002820,03/31/2005,2004,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,,0.0000,70.6590,5.9780,145.4770,46.4570,10.1270,6.2890,0.0000,,0.0000,15.0740,16.1270,,,,30.5720,108.3100,9.7030,37.1670,1.5000,,157.4350,108.3100,108.3100,,0.0000,3.6100,0.0000,,0.0000,6.2290,,A,2520,2452,305,976
